Complaint ,Company_Type,Label,
"@MoTLS19955
  عندى بلاغ ضد معرض سيارات ايجار فى جازان ومحتاج مساعده لو سمحتم",تأجير,مخالفة انظمة,
"متى تردون علي؟؟؟
 طلبيتي لها اربع ايام وصلت لتبوك وللان ماتم توصيلها ولا التواصل معي ؟؟ الى متى حتى رد ماتردون",شركة شحن,تأخير,
"قام سائق أوبر بالتسبب في حادث مروري بسبب قيادته الغير آمنة، ولم يقدم التعويض المناسب أو اعتذار صريح.",شركة توصيل,سوء تعامل,
"يا مسلمين ترى اللي يصير عيب وحرام وظلم واجحاف الله لا يسامحكم ولا يبيحكم ،، مشوار قيمته 35 ريال وتم خصم اكثر من 40 ريال يعني انا الحين اوصل ببلاش الله لا يوفقكم حسبنا الله ونعم الوكيل فيكم ….. يا وزارة النقل الله يرحم شيبانكم الموضوع عندكم 
 @SaudiTransport",شركة توصيل,مشاكل مالية,
"الدمام - استهتار سواقين الشاحنات في شارع الميناء ، و هذا استهتار بأرواح المسلمين و حيازة الطرق والتسبب بالحوادث
 
 عنايتكم : 
 @ppgovsa
  
 @pss_ar
  
 @kamnapp
  
 @security_gov
  
 @MOISaudiArabia
  
 @eMoroor",مركبات نقل,سوء تعامل,
ياليت هئية النقل يحلون مشكال منصتهم الي لنا شهرين واحنا ننتظرهم,منصات حكومية لوجستية,تأخير,
"البريد السعودي لا يقوم بتحديث حالة الشحنات بانتظام، مما يسبب لي قلقًا بشأن مكان طردي ووصوله الفعلي.",شركة شحن,تأخير,
"#وزارة_النقل_والخدمات_اللوجستية
 
 @SalehAlJasser
 
 
 @SaudiTransport
 
 
 @TGA_CARE
 
 
 @Saudi_TGA
 
 
 @SALogisti
  
 منذ عدة ايام و منصة لوجستي متعطلة عن العمل بسبب تحديث المنصة تواصلنا مع الدعم الفني و لم تفلح جميع الحلول .. 
 اعمالنا تعطلت بسبب هذا التحديث الغير معروف متى ينتهي !!",منصات حكومية لوجستية,تأخير,
"@Uber_KSA
  
 @TGA_CARE
  
 
 اليوم كنت متاخر عن الدوام وطلبت أوبر لكن جاني كل ريحته فلفل وتميس حامت كبدي ونزلت قبل يبداً الرحله وانخصم المبلغ كامل وأتفاجى ان باكستاني وله سنه شغال ؟؟؟ يازينهم الكباتن السعودي يجيك الصباح رايق قهوه وريحه طيب و.. المهم شوف حل مع..",شركة توصيل,سوء تعامل,
مادام مرخصين من الهيئة العامة للنقل يمكن يفيدونا في حال تعطل النظام لمدة أسبوع وش الحل,منصات حكومية لوجستية,تأخير,
"ياخي انتو الى متى كذا شي مو طبيعي يعني فلوسي سحبتوها لها ٤ شهور الان الطلبيه من بنك بعد تتصلو تقولو حاولنا التواصل ومافي اي اجابة محد اتصل عليا حراميه انتو ومناديبكم كذابين مايتصلو نبغا اخنا نختار شركة التوصيل ارمكس سيئه 
 @Aramex_KSA
  
 @Aramex
  
 @mcgovsa_care",شركة شحن,تأخير,
"السلام عليكم ورحمة الله وبركاته 
 لدي شحنة برقم 290938922262
 رقم التسليم 484
 توجد ب فرع البديعة مخرج ٢٨ 
 الرجاء نقلها ل فرع عليشة بالقرب من سكني 
 وشكرا",شركة شحن,اخرى,
"سيارتي كويسه ونظيفة الحمدلله والحين قفلو علي عشان موضوع الـ 5 سنوات بدأ الموضوع الآن بكريم واكيد بيتبعه اوبر وغيره لان النظام ع الجميع ..
 
 ارجو اعادة النظر في قرار الـ 5 سنوات لانه فعلاً ضيّق علي وابي اشتغل واكد واصرف على عمري 
 
 @Saudi_TGA
  
 
 @McitGovSa",شركة توصيل,سوء تعامل,
أ أرجو الرد,غير محدد,اخرى,
عندي شحنة برقم 50047261880 وتقولون التوصيل من 2-4 وتعدينا هالايام ولسى الشحنة ماوصلت ايش بتوصلون له ارجو منكم النظر في الامر ولا بقدم شكوى,شركة شحن,تأخير,
"من تاريخ ? فبراير شحنت محفظة جاهز بمبلغ (187.30) ريال بواسطة بطاقة ائتمانية ولم يتم اضافتهم اتصلت بهم بكل الوسائل لاعادتها للبطاقة بدون اي جدوى ولم يتم تزويدي بأية رقم مرجعي للشكاوي 
 @JahezApp
  
 @JahezCareKSA
  
 @SaudiTransport
  
 @habakr",شركة توصيل,مشاكل مالية,
"@TGA_CARE
  تم ايقاف حسابي في تطبيق بولت علماً ان جميع الوثائق سارية المفعول",شركة توصيل,استفسار,
كروت التشغيل لدبابات للخدمات اللوجستية,مركبات نقل,استفسار,
"هذا كلام فاضي!!!!! 
 تواصلوا ? موزعين ويطلبون الموقع وبعد مانرسل مايتجاوب ويجي اليوم الثاني مندوب جديد وعلى هالحال 
 وكل موزع اهمج من الثاني اصلا",شركة شحن,سوء تعامل,
"@Saudi_TGA
  لو سمحتوا شوف حل معاهم شحني متعطلة اربع يام، كل يوم انتظر التوصيل و ماتوصل، وخدمة العملاء كلمتهم و ما عندها فعالية كلام بدون فعل",شركة شحن,تأخير,
"@Saudi_TGA
  
 بعد المنع تكرر من تطبيق 
 @CareemKSA
  وجود عمال اجانب يعملون باسم سعودي مسجل وحصلت معي بالتحديد",شركة توصيل,مخالفة انظمة,
"@telgani
  
 @TelganiCare
  أسواء تطبيق تأجير سيارات ، خدمة عملاء يسكرون الخط في وجهك ولا يخدمونك ، استأجرت سيارة و ألغيت الحجز قبل موعد الاستلام ب ساعتين وفق سياسة التطبيق خصمُ مني قيمة يوم من الايجار !! كلمت 
 @Saudi_TGA
  قالو لي التطبيق ماعنده ترخيص #تطبيق_تلقاني #تلقاني #ايجار_سيارة",تأجير,سوء تعامل,
"@egoNowCare
  
 @Saudi_TGA
  
 @TGA_CARE
  عندي مبلغ 104 ريال طالب استرجاعه من 2 اغسطس على حسابي البنكي و افادوني الدعم 14 يوم عمل و سيتم تحويل المبلغ ، ايش المهزله ذي اكثر من 19 يوم عمل و لا رجع لي المبلغ ؟",شركة توصيل,مشاكل مالية,
"السلام عليكم انتم تضحكون على الشخص ولا ايش أنا قبل لا أطلب من التطبيق سعر المكان طلع لي 21 ريال تخون مني 40.56 ريال من غير أي سبب يعني تبون أنا نشتكي لكم وزارة التجارة 
 @MCgovSA
 او مكتب العمل
 @HRSD_SA
  او وزارة النقل 
 @SaudiTransport",شركة توصيل,مشاكل مالية,
"لأن رضاك هو الأساس..
 نسعى دائمًا في لوجستي، لتحسين تجربة المستخدم وضمان جودة الخدمات المقدمة له.
 
 شاركنا رأيك عبر الاستبيان
 #لوجستي",منصات حكومية لوجستية,اخرى,
"تأخرت رحلتي مع جيني لمدة ساعتين دون أي تنبيه مسبق، مما تسبب في تأخيري لموعدي الطبيب.",شركة توصيل,تأخير,
"للأسف حصلي نفس الموقف اليوم، ومحدده الوقت ويوصلني خارج الوقت، ومنطقتي باسكان خشم العان العسكرية وموضحة عند الطلب بيانات سكني، وبكل وقاحة يكلمني المصري ويقولي الطلبات مو واقفه على انتظارك!! والسبب لابد اطلع من المنزل للبوابة لتقديم تصريحه الدخول، ولما وصلت له راح!!",شركة شحن,سوء تعامل,
"يوم تأخير
 مناديب شركة",شركة شحن,تأخير,
"لم يتم تقديم الخدمة بالشكل المطلوب من قبل تطبيق تويو، مما تسبب في إضاعة وقتي ومالي وإحباطي.",شركة توصيل,سوء تعامل,
"تعذر علي العثور على سيارة أوبر في الموقع المحدد، وتسبب ذلك في تأخري لموعدي الهام.",شركة توصيل,تأخير,
لا الى الان و موقع النقل فيه مشكلة موراضي يرفع بلاغ,منصات حكومية لوجستية,تأخير,
"@smsacare
  عندي شحنة جايه من الرياض وهي كلها أوراق ممكن 30 ورقة بظرف واحد بوزن 0,5 كيلو وهي: 217085285212 
 .
 ممكن اعرف ليه سعر التوصيل 161 ريال ؟
 
 
 @SaudiTransport
  
 
 @trendnews_24",شركة شحن,مشاكل مالية,
"@TGA_CARE
  ابغى افهم سياراتكم وموظفينكم جالسين فيها يوميا عند باب المغادره فوق في مطار جدة ايش تسوي قومو بدوركم تحت عند باب الوصول الكدادين بهذلونا اتقو الله في عملكم",شركة توصيل,سوء تعامل,
لا مافي حملات يوميا على تطبيقات النقل الموجه بالرياض كثير باكستانيين ويمنه ومصاريه وهنود وبنقاليه شغالين فيها خصوصا اوبر وكريم وجيني وبولت وكيان وايجو وانتم فشلتم في القبض عليهم وترحيلهم,شركة توصيل,مخالفة انظمة,
"@Saudi_TGA
  
 @dal_bychannels
  
 @stcpay_ksa
  
 @SAMAcares
  اصدرت بطاقة مدى بلاستيكيه مجبراً ب ٣٤ ريال من stcpay والناقل دال الغى شحنتي لانه لايغطي مدينة رابغ 
 وكلمت stcpay يقولوا انه دال يغطوا توصيل رابغ 
 لذلك اتمنى تشوفولي حل معاهم لانها مو اول مرة وشوفوا الشكاوى بالصور",شركة شحن,سوء تعامل,
"#لغة_الطريق⁩ | 
 
 منطقة أعمال 
 كن حذرًا، وقلل من سرعتك.",منصات حكومية لوجستية,اخرى,
طلبت من الابليكيشن و تم استقطاع المبلغ و الان المطعم كنسل الطلب المفروض عملية استرجاع المبلغ ما تاخذ ثواني مثل وقت الدفع و مافي شي في الابليكشن يعرض مشكلة رفض المحل و استرجاع الأموال,شركة توصيل,مشاكل مالية,
"ياجماعة غير مقبول الكلام شحنة من جدة الى الرياض تاخذ اسبوع!!
 
 اذا ضيعتوها بلغونا عشان نعرف نتصرف.
 
 cc: 
 @MoTLS19955",شركة شحن,تأخير,
ظاهر لي في الموقع تم التسليم والشحنه ماوصلتني؟؟!!,شركة شحن,فقدان,
عندنا في محافظه الحناكيه يتجمعون عند جامع هيا العساف ويرسل لك على الواتس اب تعال استلم طلبيتك مايوصلون لموقع الاستلام اذا ما استلمتها ترجع الطلبيه ايش الحل؟تعبنا معهم,شركة شحن,سوء تعامل,
السلام عليكم انا طالبه من هنقرستيشن واغلب الاغراض اللي طلبتها ماجت وكلمتهم ومافي اي تجاوب يصرفوني انهم رفعوا الشكوى وللحين مارجعوا فلوسي ياليت تشوفون لنا حل معهم رقم الطلب: 586130048,شركة توصيل,فقدان,
"اصبح مؤخراً كثرة العماله الاجنبية في تطبيقات النقل الموجه مثل اوبر و غيرها نرجو منكم التحقيق في هذا الموضوع علماً انها للسعوديين فقط. #متسترين_اوبر 
 @Uber_KSA
  
 @Saudi_TGA",شركة توصيل,مخالفة انظمة,
"@MoTLS19955
  السلام عليكم وصلتني هذي الرساله على الايميل ابي اعرف مدى صحتها والطلب من وين",شركة شحن,استفسار,
حاولت اقدم شكوى عن طريق الحساب تم تحويلي على التطبيق وبعد تحميل التطيبق وجدت ان تصنيف الشكوى غير مدرج في الخيارات . الرجاء افادتي مافي طريقه تقديم بلاغ عن شركة شحن وشكراً,شركة شحن,استفسار,
"@MCgovSA
  
 @CSTwithU
  
 شركة سيئه 
 الكل يشكي منكم وماحد حط لكم حد
 شحنتي مفروض من ٣ ايام واصله
 كل يوم الصباح يجيني مسج انها خرجت للتسليم 
 اسوي تتبع واتواصل مع الارقام المرفقه يطلعون لي ناس يقولون الرقم غلط احنا مو مناديب!!!
 ويجي الليل محد يتواصل معي!
 
 @iMile_KSA",شركة شحن,تأخير,
"تعال خاص و ايش عندك للاسف حقيقة غائبة و ردود دبلوماسية فقط لا غير مجرد شكليات امام الناس. 
 
 @SaudiTransport
  
 
 @Uber_KSA
  
 
 @CareemKSA
  
 
 @PIFSaudi
  
 و الاكيد ما فيه شي ببلاش عشان كذا تكلمت 
 لكم نسبة معينة 
 لكن سبحان الذي لا ينسانا ولا ينساكم وله الحمد كما ينبغي لجلال وجهه وعظيم سلطانه.",شركة توصيل,سوء تعامل,
"@smsacare
  ياليت تشوفو حل معاهم لو نتصل قالو تتبعو شحنتكم من التطبيق او قنواتنا وكلها مافي تحديث من امس العصر رغم مفروض الاستلام امس او اليوم حتى لما المرسل سلمهم الشحنه الخميس ماسوو الاجراءت وطلعوها من الفرع الا بعد ماقدمت شكوى يوم السبت",شركة شحن,تأخير,
"السلام عليكم ورحمة الله وبركاته
 هل يشمل القرار السطحات اللتي تنقل الاليات والسيارات ؟؟",مركبات نقل,استفسار,
"@SMSA
  
 يعني مو معقول اني انتظر شحنه لا تستغرق ثلاثة ايام للتوصيل اسبوعين !!!!!!
 وفوق هذا لا رد على ايميل ولا رد بتويتر 
 واكلم موظفينكم يقولون لي نرفع لك طلب وانتظري 24 ساعه الى48 ساعة وكل هذا من اسبوعييييين
 والمضحك انو يطلع لي من يومين المندوب خارج للتوصيل 
 لو جاي مشي وصل",شركة شحن,تأخير,
"شحنت المحفظه نقاط لا استخراج كروت تشغيل للدبابات ، وسحب مني النقاط من المحفظه بدون استخراج الكروت",مركبات نقل,مشاكل مالية,
"@SaudiTransport
  
 @HungerStation
  
 
 السلام عليكم انا اليوم تعرضت للاحتيال من هنقرستيشن فعلت اشتراك بريال الشهر الي راح عن طريق الدفع بأبل باي وتفاجأت اليوم بسحب مبلغ ٣٨ ريال تقريبا عن طريق أبل باي تجديد لاشتراكي مرةً أخرى شهرا آخر وبالرغم من ذلك لم يتم اضافة بطاقة ائتمانيه عندهم",شركة توصيل,مشاكل مالية,
"@MoTLS19955
  السلام عليكم
 كيف نشتكي على شركات التوصيل اللي ماتتعامل بالعنوان الوطني ومناديبها يوحلوا طرودنا لعناوين بعيدة ونجلس نطارد فيها من مكان لمكان",شركة شحن,سوء تعامل,
"@SaudiTransport
  
 
 @YeloDrive
  
 هذه الشركة الفاشله نحجز السياره عبر تطبيقها وعند الوصول الي محطة الاستلام لا نجد السياره 
 مع العلم بانها اخذت كامل المبلغ والشركة لم توفر سياره",تأجير,سوء تعامل,
تعبنا من سائقي التطبيقات!!! لاتجد سيارات واذ وجدت يلغي بعد مايسحبو فيك انتظار لاكثر من ساعه واحد يلغي وواحد يقبل وعلى هالحال !!!.,شركة توصيل,سوء تعامل,
"اذا ما وصلتوا الشحنة للعنوان الوطني الموجود عندكم .. رجعوها.
 مانا رايح لها مدينة غير مدينتي والفاتوره فيها حق التوصيل والشحن ..
 
 رجعوها وانا اعرف كيف اخليكم تجيبونها لحد العنوان الوطني وبالقانون.
 وشكرا 
 رسالتكم كلها تهديد وكاننا في غابة،
 احنا ببلد فيه نظام يمشي علي وعليكم.",شركة شحن,سوء تعامل,
"من قبل امس ولا تواصلوا معي استهتار مو طبيعي 
 @MCgovSA
  
 @NAMSHI_KSA
  
 @jtexpressme
  ust",شركة شحن,تأخير,
"جاتني رسالة من تأجير واحد استأجر سيارة وحط رقم جوالي 
 
 توي انتبه للرسالة دخلت وشفت العقد بإسم شخص اخر تماماً ؟",تأجير,مخالفة انظمة,
"@HungerStation
  
 
 @cpaksa
  
 
 @CST_KSA
  
 والله مادري اي واحد فيكن مسؤل من الساعه ٥ وانا طالب من هنقرستيشن والحين الساعه ٦ ورب تقرييا وكل شوي يزيد وقت التوصيل على كيفهم المفروض وقت التزصيل محدد تاخر يعوضني البرنامج",شركة توصيل,تأخير,
"@MoTLS19955
  طلبي مع شركه ايمايل وماهي راضيه توصله كل مندوب يستلم الطلب يرجعه لمنطقه الانطلاق ويقول اني مارديت والجهاز مغلق رغم اني ارسلهم الوكيشن وكل ساعه اذكره بطلبي ومع ذلك مايستجوبون معي ارجو حل مشكلتي مع هذي الشركه السيئه في كل مرا اطلب يتكرر هذا الامر منهم
 @SaudiTransport",شركة شحن,سوء تعامل,
"? شحنات تنتقل بين المناديب وكلهم رافضين يوصلون اخرهم يبغاني اجي له مجمع يبعد عني ? كيلو عشان استلم الشحنه !ويقلي تعال استلمها والا برجعها المستودع ! قمة المصخرة
 خدمة العملاء متصل عليهم ? مرات واخرها مكالمه ?? دقيقة و في الاخير جدول الشحنه
 وين التجارة",شركة شحن,سوء تعامل,
"@MoTLS19955
  
 @Aramex
  السلام عليكم عندي شكوى على شركة ارامكس شحنتي لها اسبوع عندهم ولا وصلوها لي ولا كلموني",شركة شحن,تأخير,
"@HungerStation
  
 اللي صاير ماهو معقول!
 لنا ساعة ونص ننتظر طلبنا والمطعم يقول ان الطلب جاهز بس المندوب ما وصل!!!!!
 
 @Saudi_TGA",شركة توصيل,تأخير,
"لم يتم توصيل الطلبية بالشكل المطلوب من قبل تطبيق مرسول، مما تسبب في إضاعة وقتي ومالي.",شركة توصيل,تأخير,
"بالله شفو لنا حل معا ارامكس. 
 @SaudiTransport
  
 عندهم طلبيه لي اكثر من 7 ايام موصلوها نجران. طبرجل رقم الشحنه 47657465122",شركة شحن,تأخير,
"الاخوة الكرام بهيئة النقل العام 
 ارسلت عدة ايميلات واتصلت على الرقم 19929 
 ولم رد للطلبي 
 وكالة النقل البحري اصدرت قرار على البحار اللذي يود الدراسة بالاكاديمية الاردنية للدراسات البحرية اخذ موافقة قبل الذهاب وارسل لهم على الايميل المذكور ولم يتم الرد علي",غير محدد,اخرى,
"وبعدين لاحظت شي الاسعار اغلا من الفرع من غير سعر التوصيل والنقطه الثانيه انه يعطيك الوقت المتوقع وكل مايوصل للوقت المتوقع والمندوب ماوصل يعطي تاخير 10 دقايق يتحدث الوقت 
 @SaudiTransport",شركة توصيل,تأخير,
"@sls_express
  السلام عليكم أنا لدي شحنه من شهر فبراير مو راضيه توصل لي من شركه الدو 
 والمندوب كل يوم يرسل ارسلي الللوكيشن ولا يوصل الطلبيه 676498675 مع العلم لم تستجيب الشركه للاتصالات أرجو الرد قبل ارفع بلاغ لوزاره النقل لايوجد اشخاص في شركه للتواصل معهم والمندوب يطلب مبلغ توصي",شركة شحن,تأخير,
"طريق #الفويلق-#الضلفعة وهو الطريق المؤدي إلى #بريدة 
  #القصيم 
 يخدم طلاب الجامعات والموظفين.
 لا يزال يحتاج إلى تحسين وتطوير ،تصدعات كثيرة بسبب الامطار. 
 
 @SaudiTransport
  
 
 @MoTLS19955
  
 
 @SalehAlJasser
  
 
 @AhmedSAlhassan",منصات حكومية لوجستية,اخرى,
"السلام عليكم ورحمة الله ..
 اهل استطيع تقسيط مخالفه لدي قيمتها خمسة آلاف ريال",غير محدد,استفسار,
من ينصفنا وياخذ حقوقنا منهم ؟ انا والاف العملاء لم يتم تعويضنا بعد ماتم سحب قيمة الوجبات من التطبيق وعلق التطبيق وحذف الطلبات والفلوس الى الان لنا شهور نطالب فيها ..!,شركة توصيل,مشاكل مالية,
"@Saudi_TGA
  السلام عليكم انا كابتن في بولت وتم حضر حسابي مؤقتا بسبب انتهاء استمارة السياره وتم التجديد ولكن الى الأن لم يتم تفعيل حسابي",شركة توصيل,تأخير,
"@AppMrsool
  الحين لوبشتكي على مرسول من المسئول عنهم هيئة الاتصالات 
 @McitGovSa
  ولاوزارة النقل ؟",شركة توصيل,استفسار,
"@mcgovsa_care
  
  طلبت من متجر شحنوالطلب عن طريق شركة بيز شحنوه للوجهه الغلط وطلبت تعديل ع الموقع وتم التعديل 
 لها اسبوعين وهي بمستودعات الرياض ماتحركت اكلمهم يقولون بنرفع تسريع طلب، بنرفع لك شكوى للأداره لكن ماتغير ولا شيء وش الاجراء اللي ممكن اسويه؟ برفع عليهم شكوى 
 
 @beezcare",شركة شحن,تأخير,
"@iMile_KSA
  اهلًا بأفشل شركة شحن اليوم الرابع اللي مناديبكم يقولون جايين ويسحبون علي وكلمت الشركة الخايسه وعطوني رقم مندوبهم ودقيت عليه رد يقول انا مافي شوغول وقفل بوجهي العن ابوها شغله تتهزأت عشان شحنتي اللي دافعه بفلوسي 
 
 يرضيكم؟ بنوصل ٢٠٣٠ وفي شركات زي ذي؟ 
 
 @SaudiTransport",شركة شحن,تأخير,
"@JahezCareKSA
  بدأنا استهبال!!",شركة توصيل,اخرى,
